,지점,지점명,일시,평균기온(℃),최저기온(℃),최고기온(℃)
0,108,서울,1907-10-01,13.5,7.9,20.7
1,108,서울,1907-10-02,16.2,7.9,22.0
2,108,서울,1907-10-03,16.2,13.1,21.3
3,108,서울,1907-10-04,16.5,11.2,22.0
4,108,서울,1907-10-05,17.6,10.9,25.4
5,108,서울,1907-10-06,13.0,11.2,21.3
6,108,서울,1907-10-07,11.3,6.3,16.1
7,108,서울,1907-10-08,8.9,3.9,14.9
8,108,서울,1907-10-09,11.6,3.8,21.1
9,108,서울,1907-10-10,14.2,6.4,24.1
10,108,서울,1907-10-11,15.4,10.1,20.4
11,108,서울,1907-10-12,13.9,11.1,17.4
12,108,서울,1907-10-13,13.8,8.3,21.3
13,108,서울,1907-10-14,13.0,6.1,20.6
14,108,서울,1907-10-15,13.1,5.7,20.9
15,108,서울,1907-10-16,14.1,8.2,20.2
16,108,서울,1907-10-17,16.4,10.3,21.6
17,108,서울,1907-10-18,14.3,9.8,20.9
18,108,서울,1907-10-19,13.9,6.7,21.3
19,108,서울,1907-10-20,18.3,12.4,22.7
20,108,서울,1907-10-21,15.2,10.7,19.9
21,108,서울,1907-10-22,15.4,12.1,19.6
22,108,서울,1907-10-23,13.1,8.1,16.3
23,108,서울,1907-10-24,9.7,3.3,17.1
24,108,서울,1907-10-25,12.7,6.2,18.7
25,108,서울,1907-10-26,11.8,7.2,18.2
26,108,서울,1907-10-27,14.0,7.7,20.7
27,108,서울,1907-10-28,13.8,8.4,19.6
28,108,서울,1907-10-29,14.3,10.7,20.0
29,108,서울,1907-10-30,12.2,6.7,20.1
30,108,서울,1907-10-31,13.4,5.2,20.3
31,108,서울,1907-11-01,16.1,11.7,21.3
32,108,서울,1907-11-02,14.2,9.1,21.1
33,108,서울,1907-11-03,6.4,2.3,11.1
34,108,서울,1907-11-04,5.9,-1.0,13.6
35,108,서울,1907-11-05,8.6,1.7,17.0
36,108,서울,1907-11-06,9.5,3.6,18.1
37,108,서울,1907-11-07,5.7,0.0,12.4
38,108,서울,1907-11-08,4.1,-0.7,9.4
39,108,서울,1907-11-09,6.9,0.7,11.9
40,108,서울,1907-11-10,7.9,1.7,13.2
41,108,서울,1907-11-11,10.3,8.2,13.4
42,108,서울,1907-11-12,9.9,5.4,14.9
43,108,서울,1907-11-13,9.5,3.7,16.4
44,108,서울,1907-11-14,9.5,5.1,15.2
45,108,서울,1907-11-15,11.3,3.9,17.6
46,108,서울,1907-11-16,11.6,10.1,12.6
47,108,서울,1907-11-17,6.6,0.7,11.7
48,108,서울,1907-11-18,0.6,-2.7,6.7
49,108,서울,1907-11-19,0.4,-2.5,4.3
50,108,서울,1907-11-20,2.7,-1.2,7.1
51,108,서울,1907-11-21,2.2,-3.5,6.2
52,108,서울,1907-11-22,8.9,3.2,11.2
53,108,서울,1907-11-23,7.7,5.9,9.9
54,108,서울,1907-11-24,-1.1,-5.0,5.9
55,108,서울,1907-11-25,-4.5,-7.3,-0.7
56,108,서울,1907-11-26,-1.0,-5.7,1.5
57,108,서울,1907-11-27,-1.1,-6.1,1.9
58,108,서울,1907-11-28,-2.7,-8.5,2.0
59,108,서울,1907-11-29,-0.2,-4.6,2.9
60,108,서울,1907-11-30,-6.6,-8.9,-2.4
61,108,서울,1907-12-01,-4.6,-10.5,1.4
62,108,서울,1907-12-02,-3.1,-9.0,3.4
63,108,서울,1907-12-03,1.9,-2.6,6.1
64,108,서울,1907-12-04,-1.2,-2.7,1.3
65,108,서울,1907-12-05,-1.0,-6.9,2.6
66,108,서울,1907-12-06,-1.3,-6.1,5.8
67,108,서울,1907-12-07,-4.1,-9.3,1.9
68,108,서울,1907-12-08,-1.1,-7.2,6.6
69,108,서울,1907-12-09,3.2,-4.3,8.1
70,108,서울,1907-12-10,-1.4,-5.1,4.3
71,108,서울,1907-12-11,-2.3,-7.1,0.6
72,108,서울,1907-12-12,-0.1,-3.1,3.8
73,108,서울,1907-12-13,4.0,-3.5,9.0
74,108,서울,1907-12-14,-6.0,-9.9,6.4
75,108,서울,1907-12-15,-8.1,-11.9,-5.1
76,108,서울,1907-12-16,-7.3,-11.9,-2.4
77,108,서울,1907-12-17,-7.3,-13.2,-2.1
78,108,서울,1907-12-18,-5.5,-12.3,-0.4
79,108,서울,1907-12-19,-6.5,-11.9,-0.2
80,108,서울,1907-12-20,-2.9,-8.1,1.9
81,108,서울,1907-12-21,-12.1,-14.8,-8.1
82,108,서울,1907-12-22,-13.4,-18.0,-10.2
83,108,서울,1907-12-23,-13.3,-20.1,-9.4
84,108,서울,1907-12-24,-3.2,-9.7,0.9
85,108,서울,1907-12-25,3.5,1.1,6.8
86,108,서울,1907-12-26,3.2,-1.9,6.4
87,108,서울,1907-12-27,-3.8,-6.3,-0.7
88,108,서울,1907-12-28,-4.6,-9.6,-1.9
89,108,서울,1907-12-29,-9.0,-13.5,-4.4
90,108,서울,1907-12-30,-9.2,-14.2,-6.1
91,108,서울,1907-12-31,-4.0,-7.1,-2.1
92,108,서울,1908-01-01,-5.9,-9.1,-1.3
93,108,서울,1908-01-02,-7.7,-13.9,-3.0
94,108,서울,1908-01-03,-6.2,-10.8,-2.9
95,108,서울,1908-01-04,-7.5,-12.8,-1.7
96,108,서울,1908-01-05,-4.8,-11.3,-0.1
97,108,서울,1908-01-06,-1.1,-5.1,2.9
98,108,서울,1908-01-07,-4.4,-6.7,-1.2
99,108,서울,1908-01-08,-6.3,-10.4,-0.9
100,108,서울,1908-01-09,-3.2,-9.3,2.0
101,108,서울,1908-01-10,0.3,-4.5,3.3
102,108,서울,1908-01-11,1.7,-1.0,4.8
103,108,서울,1908-01-12,2.0,-1.3,4.5
104,108,서울,1908-01-13,1.4,-3.7,4.7
105,108,서울,1908-01-14,-3.2,-7.4,0.1
106,108,서울,1908-01-15,-1.9,-4.5,0.9
107,108,서울,1908-01-16,-8.9,-11.2,-4.5
108,108,서울,1908-01-17,-6.5,-11.3,-3.6
109,108,서울,1908-01-18,1.1,-3.9,2.8
110,108,서울,1908-01-19,1.7,1.3,2.8
111,108,서울,1908-01-20,-1.1,-7.4,2.3
112,108,서울,1908-01-21,-9.1,-11.2,-6.1
113,108,서울,1908-01-22,-9.7,-14.3,-5.1
114,108,서울,1908-01-23,-7.1,-13.4,-2.7
115,108,서울,1908-01-24,-2.0,-4.7,0.1
116,108,서울,1908-01-25,-1.2,-2.4,0.3
117,108,서울,1908-01-26,-4.1,-6.4,-0.6
118,108,서울,1908-01-27,-4.4,-9.9,0.0
119,108,서울,1908-01-28,-6.1,-10.8,-1.3
120,108,서울,1908-01-29,-3.5,-10.7,0.8
121,108,서울,1908-01-30,-1.1,-2.2,0.8
122,108,서울,1908-01-31,1.4,-2.4,6.2
123,108,서울,1908-02-01,-2.2,-6.4,1.6
124,108,서울,1908-02-02,-3.1,-7.5,-0.2
125,108,서울,1908-02-03,-8.0,-10.8,-5.4
126,108,서울,1908-02-04,-7.0,-10.3,-4.1
127,108,서울,1908-02-05,-8.5,-11.6,-5.5
128,108,서울,1908-02-06,-10.4,-13.3,-5.7
129,108,서울,1908-02-07,-9.6,-15.8,-3.7
130,108,서울,1908-02-08,-5.0,-11.3,1.3
131,108,서울,1908-02-09,-7.6,-11.4,-4.1
132,108,서울,1908-02-10,-7.0,-10.6,-2.5
133,108,서울,1908-02-11,-6.4,-9.9,-2.8
134,108,서울,1908-02-12,-7.0,-12.4,-1.2
135,108,서울,1908-02-13,-5.3,-12.3,1.3
136,108,서울,1908-02-14,-3.3,-7.5,2.3
137,108,서울,1908-02-15,-3.9,-9.8,2.0
138,108,서울,1908-02-16,-5.2,-8.8,-1.4
139,108,서울,1908-02-17,-7.5,-13.0,-1.6
140,108,서울,1908-02-18,-5.6,-12.9,0.3
141,108,서울,1908-02-19,-3.3,-11.0,5.5
142,108,서울,1908-02-20,-0.7,-8.4,7.3
143,108,서울,1908-02-21,-0.4,-4.7,5.1
144,108,서울,1908-02-22,-0.1,-3.8,5.4
145,108,서울,1908-02-23,-2.6,-6.2,2.7
146,108,서울,1908-02-24,-3.6,-7.8,1.7
147,108,서울,1908-02-25,-4.1,-8.7,0.8
148,108,서울,1908-02-26,-2.3,-7.9,4.1
149,108,서울,1908-02-27,2.3,-6.3,8.4
150,108,서울,1908-02-28,5.1,2.6,6.3
151,108,서울,1908-02-29,4.6,3.5,5.6
152,108,서울,1908-03-01,0.7,-4.8,4.0
153,108,서울,1908-03-02,-3.8,-7.4,0.1
154,108,서울,1908-03-03,1.9,-2.7,4.9
155,108,서울,1908-03-04,2.0,0.8,4.0
156,108,서울,1908-03-05,3.0,-0.2,7.9
157,108,서울,1908-03-06,3.3,-0.5,7.9
158,108,서울,1908-03-07,0.6,-1.6,2.2
159,108,서울,1908-03-08,-1.8,-4.9,1.9
160,108,서울,1908-03-09,-1.2,-3.5,1.5
161,108,서울,1908-03-10,-0.6,-1.8,1.5
162,108,서울,1908-03-11,-1.9,-4.5,1.8
163,108,서울,1908-03-12,-1.7,-5.3,2.6
164,108,서울,1908-03-13,-1.3,-5.9,3.8
165,108,서울,1908-03-14,0.0,-5.2,6.7
166,108,서울,1908-03-15,4.7,-2.2,11.8
167,108,서울,1908-03-16,6.0,-1.4,13.5
168,108,서울,1908-03-17,9.1,3.8,15.7
169,108,서울,1908-03-18,4.6,0.7,10.7
170,108,서울,1908-03-19,2.0,-1.3,7.9
171,108,서울,1908-03-20,0.1,-3.9,4.3
172,108,서울,1908-03-21,1.4,-1.8,6.0
173,108,서울,1908-03-22,2.9,-4.5,12.5
174,108,서울,1908-03-23,7.9,-0.4,17.0
175,108,서울,1908-03-24,7.7,2.7,14.7
176,108,서울,1908-03-25,5.4,-0.3,11.4
177,108,서울,1908-03-26,3.3,-2.2,7.4
178,108,서울,1908-03-27,0.8,-5.8,8.0
179,108,서울,1908-03-28,8.1,-1.8,15.5
180,108,서울,1908-03-29,12.7,7.4,18.2
181,108,서울,1908-03-30,8.1,5.3,11.4
182,108,서울,1908-03-31,6.5,-0.2,13.2
183,108,서울,1908-04-01,8.5,5.1,14.8
184,108,서울,1908-04-02,8.3,4.1,14.9
185,108,서울,1908-04-03,8.4,4.4,11.1
186,108,서울,1908-04-04,11.3,7.5,15.0
187,108,서울,1908-04-05,7.4,6.5,9.9
188,108,서울,1908-04-06,6.8,4.6,10.6
189,108,서울,1908-04-07,6.5,-0.7,13.6
190,108,서울,1908-04-08,10.2,4.8,17.2
191,108,서울,1908-04-09,10.5,5.1,16.9
192,108,서울,1908-04-10,10.9,6.6,17.1
193,108,서울,1908-04-11,10.4,7.1,13.6
194,108,서울,1908-04-12,8.6,6.9,9.4
195,108,서울,1908-04-13,7.7,2.9,14.1
196,108,서울,1908-04-14,7.1,0.1,14.8
197,108,서울,1908-04-15,8.9,0.6,18.6
198,108,서울,1908-04-16,8.4,4.2,14.4
199,108,서울,1908-04-17,9.8,1.9,18.8
200,108,서울,1908-04-18,11.0,2.0,20.4
201,108,서울,1908-04-19,11.8,3.0,22.7
202,108,서울,1908-04-20,14.4,4.7,22.9
203,108,서울,1908-04-21,14.0,11.3,17.4
204,108,서울,1908-04-22,14.2,10.2,21.1
205,108,서울,1908-04-23,14.0,5.3,21.6
206,108,서울,1908-04-24,10.8,4.2,20.9
207,108,서울,1908-04-25,8.0,3.4,13.3
208,108,서울,1908-04-26,10.1,6.4,16.4
209,108,서울,1908-04-27,9.4,4.4,14.2
210,108,서울,1908-04-28,9.0,2.2,17.1
211,108,서울,1908-04-29,10.8,1.5,19.6
212,108,서울,1908-04-30,14.6,7.1,22.2
213,108,서울,1908-05-01,16.3,8.1,24.2
214,108,서울,1908-05-02,12.3,9.9,16.1
215,108,서울,1908-05-03,13.6,9.7,19.0
216,108,서울,1908-05-04,12.3,5.2,20.1
217,108,서울,1908-05-05,13.9,8.2,20.5
218,108,서울,1908-05-06,15.0,7.9,22.9
219,108,서울,1908-05-07,16.9,9.8,24.6
220,108,서울,1908-05-08,17.1,11.2,24.3
221,108,서울,1908-05-09,17.3,13.3,23.5
